Season,Title,Airdate,Rating,Vote_count,Description
2,Bart reprueba,11 oct. 1990,8.2,2983,"La señora Krabappel, harta de la actitud despreocupada de Bart hacia sus estudios, le da un ultimátum: mejorar o repetir cuarto grado."
2,Simpson y Dalila,18 oct. 1990,8.2,2835,Homer miente en un formulario del seguro médico para obtener un medicamento milagroso que restaura el cabello.
2,La casita del horror,25 oct. 1990,8.3,3161,"Los Simpson se mudan a una casa maldita, luego son secuestrados por extraterrestres y, finalmente, Homer queda atrapado en un relato de Edgar Allan Poe."
2,Dos autos en cada garaje y tres ojos en cada pez,1 nov. 1990,8.1,2596,"Después de que la planta nuclear recibe mala publicidad y queda amenazada con el cierre, el señor Burns decide postularse a gobernador para tener poder sobre la ley."
2,Homer bailarín,8 nov. 1990,7.5,2509,"Las burlas de Homer al equipo de béisbol Isótopos de Springfield durante un partido terminan, sin querer, convirtiéndolo en la nueva mascota del equipo."
2,La sociedad de los golfistas muertos,15 nov. 1990,8.0,2437,"En un intento por superar a Ned Flanders, Homer enfrenta a Bart con Todd, el hijo de Ned, en una competencia de minigolf."
2,Bart contra el Día de Acción de Gracias,22 nov. 1990,7.8,2405,"En el Día de Acción de Gracias, Bart huye de casa después de pelear con Lisa."
2,"Bart, el temerario",6 dic. 1990,8.4,2653,"Después de ver a un motociclista acróbata en un espectáculo de monster trucks, Bart se convierte en un temerario patinador dispuesto a desafiar a la muerte."
2,"Tomy, Daly y Marge",20 dic. 1990,8.1,2480,Marge inicia una cruzada contra la violencia en los dibujos animados después de ver El show de Tomy y Daly.
2,Bart es atropellado,10 ene. 1991,7.8,2380,"Mientras anda en patineta por la calle, Bart es atropellado por un auto conducido por el señor Burns. Homer rechaza la oferta simbólica de 100 dólares de Burns y contrata al abogado oportunista Lionel Hutz para presentar una demanda exorbitante contra el millonario."
2,"Un pez, dos peces, pez globo, pez azul",24 ene. 1991,8.8,2934,"Después de aparentemente comer un pez globo venenoso, le dicen a Homer que solo le quedan 24 horas de vida."
2,Así éramos,31 ene. 1991,8.3,2483,Homer y Marge cuentan la historia de cómo se conocieron y se enamoraron en la escuela secundaria.
2,Homer contra Lisa y el octavo mandamiento,7 feb. 1991,8.0,2339,"Homer consigue que un instalador de cable deshonesto conecte televisión por cable gratis en la casa de los Simpson y, como resultado, Lisa enfrenta un dilema ético por el robo de su familia."
2,Director encantador,14 feb. 1991,7.5,2254,"Homer intenta emparejar a Selma con el director Skinner, pero él termina enamorándose de Patty."
2,"Oh, hermano, ¿dónde estás?",21 feb. 1991,8.3,2481,"Después de que el Abuelo es hospitalizado, revela que Homer tiene un medio hermano y la familia sale a buscarlo."
2,El perro de Bart reprueba,7 mar. 1991,7.5,2235,"Después de que el incontrolable Ayudante de Santa destruye varias pertenencias importantes de los Simpson, Homer anuncia que lo echará de la casa si no completa un entrenamiento de obediencia."
2,Dinero viejo,28 mar. 1991,7.6,2186,"Después de que la nueva novia del Abuelo muere y le deja 106.000 dólares en su testamento, él intenta decidir qué hacer con el dinero."
2,Pinceladas de grandeza,11 abr. 1991,8.0,2229,"Después de quedar atrapado en un tobogán acuático, Homer decide hacer dieta, mientras Marge se inscribe en una clase de arte y pronto recibe el encargo de pintar un retrato del señor Burns."
2,La sustituta de Lisa,25 abr. 1991,8.6,2855,Lisa se enamora de su maestro suplente; Bart decide postularse como presidente de la clase.
2,La guerra de los Simpson,2 may. 1991,7.9,2188,"Homer debe decidir qué es más importante: completar una terapia para salvar su matrimonio o escaparse para pescar un legendario bagre. Mientras tanto, en casa, Bart y Lisa aprovechan que el Abuelo desconoce las reglas del hogar."
2,Tres hombres y una historieta,9 may. 1991,8.3,2401,"Bart, Milhouse y Martin aportan dinero para comprar una costosa historieta, que pronto tiene un efecto desastroso en su amistad."
2,Enemistad de sangre,11 jul. 1991,7.9,2154,Bart salva la vida del señor Burns. Pero Homer se enfurece cuando Burns no devuelve el favor enviando a los Simpson lo que él considera un regalo de agradecimiento apropiado.
3,Papá está loco,19 sep. 1991,8.6,3084,Homer termina accidentalmente en un hospital psiquiátrico y comparte habitación con un hombre blanco que cree ser Michael Jackson.
3,El señor Lisa va a Washington,26 sep. 1991,7.8,2276,"Después de ganar un concurso de ensayos políticos, Lisa es invitada a Washington D. C., pero pronto se desilusiona al descubrir cómo funciona realmente la elaboración de políticas."
3,Cuando Flanders fracasó,3 oct. 1991,8.2,2345,"Después de desear que el negocio de Flanders fracase, Homer descubre que su vecino está realmente al borde de la bancarrota y decide ayudarlo."
3,"Bart, el asesino",10 oct. 1991,8.6,2574,"Después de tener un día horrible, Bart consigue trabajo atendiendo un bar para un grupo de mafiosos y se convierte en el principal sospechoso cuando el director Skinner desaparece misteriosamente."
3,Homer definido,17 oct. 1991,8.5,2449,"Homer se convierte en héroe después de evitar una fusión nuclear que él mismo casi provoca, pero no quiere contarle a nadie que la detuvo completamente por accidente."
3,"De tal padre, tal payaso",24 oct. 1991,7.7,2202,Bart y Lisa intentan reunir a Krusty el Payaso con su padre.
3,La casita del horror II,31 oct. 1991,8.3,2431,"La familia Simpson recibe una pata de mono cercenada capaz de conceder deseos; Bart obtiene poderes mágicos y los usa para convertir a Homer en una caja sorpresa, y el señor Burns utiliza el cerebro de Homer para crear un robot."
3,El poni de Lisa,7 nov. 1991,7.9,2138,Homer le compra a Lisa un poni que la familia apenas puede permitirse.
3,Sábados de trueno,14 nov. 1991,7.9,2116,"Después de que Homer reprueba una prueba sobre paternidad, decide ayudar a Bart a construir su auto para una carrera de carritos."
3,El flameado de Moe,21 nov. 1991,8.8,2772,"Moe se atribuye como propia una bebida inventada por Homer; el trago convierte el bar en un lugar de moda, pero amenaza su amistad con Homer."
3,Burns vende la planta,5 dic. 1991,8.3,2231,Burns decide jubilarse y vende la planta nuclear a un consorcio alemán por un precio exorbitante. La pereza e ineficiencia de Homer quedan rápidamente expuestas ante sus nuevos jefes y lo despiden.
3,Me casé con Marge,26 dic. 1991,8.3,2129,"Mientras Marge va al médico para hacerse una prueba de embarazo, Homer les cuenta a los niños los acontecimientos que condujeron a su matrimonio y al nacimiento de Bart."
3,Radio Bart,9 ene. 1992,8.5,2360,"Después de recibir un micrófono capaz de transmitir por radios, Bart decide hacer una serie de bromas y finalmente convence al pueblo de que un niño cayó a un pozo."
3,"Lisa, la griega",23 ene. 1992,8.0,2035,Homer utiliza a Lisa y su capacidad para predecir resultados para ayudarlo a apostar en partidos de fútbol americano.
3,Homer solo,6 feb. 1992,8.1,2051,"Mientras Marge pasa un par de días en Rancho Relaxo después de sufrir una crisis, Bart y Lisa se quedan con Patty y Selma, y Homer permanece en casa cuidando a Maggie."
3,"Bart, el amante",13 feb. 1992,8.3,2233,"Después de que la señora Krabappel le da a Bart un mes de castigo, él se venga respondiendo a su anuncio de contactos personales en el periódico. Mientras tanto, Marge sugiere que Homer empiece un frasco de multas por insultos para dejar de decir malas palabras."
3,Homer al bate,20 feb. 1992,8.7,2716,"Homer y sus compañeros de trabajo clasifican a la final de la liga de sóftbol de la planta, pero el señor Burns contrata a nueve jugadores profesionales de las Grandes Ligas para ganar una apuesta de un millón de dólares."
3,Vocaciones separadas,27 feb. 1992,8.2,2070,"Los resultados de una prueba estandarizada orientan a Bart hacia el orden y la disciplina en la Escuela Primaria de Springfield. Sin embargo, Lisa queda tan deprimida por sus resultados que se vuelca a la delincuencia juvenil."
3,El perro de la muerte,12 mar. 1992,7.8,1998,"Los Simpson terminan lamentando haber pagado una costosa cirugía para Ayudante de Santa. Luego el perro huye de casa, acaba en el refugio de animales y es adoptado por el señor Burns para convertirse en perro de ataque."
3,Coronel Homer,26 mar. 1992,8.0,2148,"Homer se convierte en representante de una hermosa joven cantante de country y descubre que casi se siente atraído por ella, despertando los celos de Marge."
3,El viudo negro,9 abr. 1992,8.3,2143,Bob Patiño sale de la cárcel y planea vengarse de Bart casándose con su tía Selma para luego matarla.
3,El show de Otto,23 abr. 1992,7.7,2036,"Después de que Otto pierde su trabajo como conductor del autobús escolar porque no tiene licencia, Bart convence a Homer y Marge de dejarlo quedarse con ellos hasta que vuelva a estabilizarse."
3,El amigo de Bart se enamora,7 may. 1992,7.8,2005,"Milhouse se enamora de Samantha, una nueva alumna transferida, y Bart se pone celoso por todo el tiempo que pasan juntos. Mientras tanto, Homer pide una cinta subliminal para bajar de peso, pero por error recibe una para mejorar el vocabulario."
3,"Hermano, ¿puedes prestarme dos monedas?",27 ago. 1992,8.3,2104,"Después de que Homer «gana» una indemnización de 2.000 dólares de la planta porque la radiación afectó su conteo de espermatozoides, su hermano Herb llega a Springfield con una idea que podría ayudarlo a recuperar su fortuna."
4,Campamento Krusty,24 sep. 1992,8.5,2475,"Bart y Lisa asisten al «Campamento Krusty», pero no se parece en nada a lo que imaginaban; mientras los niños están fuera, a Homer le vuelve a crecer el cabello y pierde peso."
4,Un tranvía llamado Marge,1 oct. 1992,8.2,2303,"Marge protagoniza una adaptación musical de Un tranvía llamado Deseo, pero se enfurece por la falta de interés de Homer; Maggie se enfrenta a la estricta encargada de su nueva guardería."
4,"Homer, el hereje",8 oct. 1992,9.0,2970,"Después de faltar a la iglesia una semana, Homer decide no volver nunca. Sin embargo, cuando ocurre una desgracia, hace falta el esfuerzo conjunto de varias personas de distintas religiones para salvarlo."
4,"Lisa, la reina de belleza",15 oct. 1992,7.8,2093,Lisa participa en el concurso de Pequeña Miss Springfield.
4,La casita del horror III,29 oct. 1992,8.5,2412,Un muñeco malvado de Krusty el Payaso intenta matar a Homer; Marge es capturada por un simio gigante que se enamora de ella; Bart resucita accidentalmente a los muertos.
4,Tomy y Daly: La película,3 nov. 1992,8.2,2208,"Como Bart se mete constantemente en problemas, Homer le prohíbe ver la nueva película de Tomy y Daly."
4,Marge consigue trabajo,5 nov. 1992,7.8,2006,"Cuando Marge consigue trabajo en la planta nuclear, el señor Burns se enamora de ella."
4,El chico nuevo del barrio,12 nov. 1992,8.2,2176,"Bart se enamora de su nueva vecina, solo para descubrir que ella está saliendo con Jimbo Jones; Homer demanda a un restaurante de comida libre después de que lo expulsan."
4,Señor Quitanieves,19 nov. 1992,8.9,2766,"Homer abre un negocio de quitanieves, pero su mejor amigo Barney inaugura uno rival, con comerciales protagonizados por Linda Ronstadt. Homer envía a Barney hacia una avalancha, luego se siente culpable y le salva la vida."
4,La primera palabra de Lisa,3 dic. 1992,8.7,2353,"Mientras intentan lograr que Maggie diga su primera palabra, Homer y Marge recuerdan cómo Lisa pronunció la suya."
4,El triple bypass de Homer,17 dic. 1992,8.7,2406,"Años de malos hábitos alimenticios alcanzan a Homer cuando sufre un infarto masivo, pero la familia no puede pagar la operación de triple bypass que necesita."
4,Marge contra el monorriel,14 ene. 1993,9.1,3389,"Después de recibir una importante suma de dinero, Springfield construye un sistema de monorriel con Homer como conductor, sin saber que acaban de subirse a un tren de ida al infierno."
4,La elección de Selma,21 ene. 1993,8.0,2039,"Selma empieza a sentir deseos de ser madre, pero después de llevar a Bart y Lisa a Duff Gardens cambia de opinión."
4,Hermano del mismo planeta,4 feb. 1993,8.2,2053,"Cuando Bart se cansa de las pésimas habilidades paternales de Homer, se inscribe en el programa «Hermano Mayor», donde le asignan un fantástico modelo a seguir."
4,Amo a Lisa,11 feb. 1993,8.4,2219,Lisa le da a Ralph una tarjeta de San Valentín por lástima y luego se arrepiente cuando él se enamora de ella. Asisten al show del 29.º aniversario de Krusty y actúan juntos en el espectáculo del Día de los Presidentes.
4,Sin Duff,18 feb. 1993,8.4,2095,"Después de que Homer es arrestado por conducir bajo los efectos del alcohol y pierde su licencia, enfrenta la prueba definitiva cuando Marge lo presiona para que deje la cerveza durante un mes."
4,Última salida a Springfield,11 mar. 1993,9.1,3098,Homer se convierte en líder sindical y encabeza una huelga cuando el señor Burns elimina el plan dental de la empresa.
4,Así que hemos llegado a esto: un episodio recopilatorio de Los Simpson,1 abr. 1993,7.1,1916,La broma del Día de los Inocentes de Bart provoca una enorme explosión que hiere gravemente al patriarca de los Simpson.
4,La fachada,15 abr. 1993,8.1,1933,Bart y Lisa deciden escribir sus propios episodios de «Tomy y Daly» después de empezar a aburrirse de los guiones actuales.
4,El Día del Garrote,29 abr. 1993,8.1,2116,"Marge intenta educar a Bart en casa después de que lo expulsan de la Escuela Primaria de Springfield. Mientras tanto, Lisa protesta contra una bárbara festividad local centrada en matar serpientes a garrotazos."
4,Marge encadenada,6 may. 1993,7.8,1890,"Un malentendido lleva a Marge a prisión por hurto, y su ausencia pronto sume primero a la familia y luego a todo el pueblo en el caos."
4,Krusty es cancelado,13 may. 1993,8.2,2123,"Una enorme campaña publicitaria anuncia la llegada de algo llamado «Gabbo». Finalmente se revela que Gabbo es un muñeco al estilo de Howdy Doody, cuyo éxito sensacional provoca la cancelación del programa de Krusty el Payaso."
5,El cuarteto de barbería de Homer,30 sep. 1993,8.5,2491,"Después de que los niños encuentran un disco con la foto de Homer, él recuerda cómo alcanzó la fama en los años 80 con su cuarteto de barbería, Los Borbotones."
5,El cabo del miedo,7 oct. 1993,9.2,3555,"Tras salir de prisión en libertad condicional, Bob Patiño planea asesinar a Bart."
5,Homer va a la universidad,14 oct. 1993,8.6,2498,"Cuando una inspección sorpresa de la planta nuclear revela que Homer no está capacitado para su trabajo, se ve obligado a ir a la universidad."
5,Rosebud,21 oct. 1993,8.9,2526,"Después de que su fiesta de cumpleaños sale mal, el señor Burns empieza a añorar un juguete de su infancia, un osito de peluche llamado Bobo; Homer descubre que Maggie tiene el muñeco."
5,La casita del horror IV,28 oct. 1993,8.8,2530,Homer vende su alma al Diablo por una dona; Bart se enfrenta a un gremlin que viaja en el costado del autobús escolar y que solo él puede ver; y la familia descubre que el señor Burns es un vampiro.
5,Marge a la fuga,4 nov. 1993,8.1,1983,Una salida de chicas se convierte en una persecución a gran velocidad cuando Marge descubre que su amiga conduce un auto robado.
5,El niño interior de Bart,11 nov. 1993,7.7,1872,"Brad Goodman, un gurú de la autoayuda, anima a Springfield a comportarse más como Bart, con resultados desastrosos."
5,Boy Scoutz 'n the Hood,18 nov. 1993,8.7,2238,"Después de unirse a los Jóvenes Campistas mientras está eufórico por el azúcar, Bart invita de mala gana a Homer a acompañarlo en el viaje anual de rafting de padres e hijos del grupo, que pronto sale mal."
5,La última tentación de Homer,9 dic. 1993,8.5,2235,El matrimonio de Homer corre peligro cuando se siente atraído por una nueva compañera de trabajo.
5,$pringfield (o cómo aprendí a dejar de preocuparme y amar el juego legalizado),16 dic. 1993,8.6,2242,"El señor Burns construye un casino cuando Springfield decide legalizar el juego, y Marge se vuelve adicta a las máquinas tragamonedas."
5,"Homer, el vigilante",6 ene. 1994,8.3,2053,Una ola de robos inspira a Homer a liderar un grupo de vigilantes.
5,Bart se hace famoso,3 feb. 1994,8.2,1957,Bart se convierte de la noche a la mañana en una sensación como el chico de «Yo no fui» en el programa de Krusty el Payaso.
5,Homer y Apu,10 feb. 1994,8.3,2017,Apu se muda con los Simpson después de perder su trabajo cuando Homer enferma por comida contaminada; James Woods se hace cargo del Kwik-E-Mart.
5,Lisa contra Stacy Malibu,17 feb. 1994,8.2,2014,Lisa lidera una protesta contra una muñeca parlante que considera sexista.
5,Homer en el espacio profundo,24 feb. 1994,8.9,2570,"En un intento por mejorar los pésimos índices de audiencia televisiva de sus lanzamientos espaciales, la NASA decide enviar al espacio a un hombre común, y Homer es elegido para la misión."
5,Homer ama a Flanders,17 mar. 1994,8.5,2068,"Después de que Flanders invita a Homer a un partido de fútbol americano, ambos se hacen amigos, pero la actitud posesiva y grosera de Homer hace que Ned poco a poco se vuelva contra él."
5,Bart consigue un elefante,31 mar. 1994,7.9,1950,"Después de ganar un elefante como premio por llamar a una estación de radio, Bart descubre que cuidarlo es demasiado costoso y Homer decide venderlo."
5,El heredero de Burns,14 abr. 1994,8.4,1957,"Después de estar cerca de la muerte, el señor Burns decide que es hora de encontrar un heredero para su imperio y elige a Bart por su naturaleza verdaderamente retorcida."
5,La canción maldita de Seymour Skinner,28 abr. 1994,8.4,2004,"Bart provoca accidentalmente que despidan al director Skinner el día de una inspección, y Ned Flanders ocupa su lugar como reemplazo."
5,El niño que sabía demasiado,5 may. 1994,8.3,1915,"Bart presencia la supuesta agresión al camarero por parte del sobrino del alcalde Quimby, pero contar lo que vio significaría admitir que faltó a clase y afrontar las consecuencias."
5,El amante de la señora Bouvier,12 may. 1994,7.6,1748,"El Abuelo se enamora de la madre de Marge, pero debe competir con el señor Burns por su amor."
5,Secretos de un matrimonio exitoso,19 may. 1994,8.1,1826,"Homer comienza a dar una clase sobre cómo tener un matrimonio exitoso, pero pone en peligro el suyo al revelar secretos sobre él y Marge."
6,Bart de la oscuridad,4 sep. 1994,8.7,2342,"Después de romperse una pierna y quedar confinado a su habitación, Bart empieza a espiar a los vecinos con su telescopio y sospecha que Ned asesinó a Maude."
6,La rival de Lisa,11 sep. 1994,8.1,2019,"Lisa se pone celosa cuando una nueva compañera de clase resulta ser más inteligente que ella. Mientras tanto, Homer consigue una enorme cantidad de azúcar."
6,Otro episodio recopilatorio de Los Simpson,25 sep. 1994,5.9,1825,La familia recuerda historias pasadas de amores perdidos.
6,La Tierra de Tomy y Daly,2 oct. 1994,8.6,2236,Las vacaciones familiares en la Tierra de Tomy y Daly se vuelven desastrosas cuando los robots fallan y atacan a los turistas.
6,Bob Patiño Roberts,9 oct. 1994,8.3,1961,"Bob Patiño sale de prisión y se postula para alcalde de Springfield. Cuando gana las elecciones, Bart y Lisa sospechan que hubo fraude y están decididos a exponer la corrupción de Bob."
6,La casita del horror V,30 oct. 1994,9.2,3082,El trabajo de la familia en la finca campestre del señor Burns sale mal cuando Homer enloquece; el intento de Homer de reparar una tostadora provoca un viaje accidental en el tiempo; y el personal de la escuela se vuelve caníbal.
6,La novia de Bart,6 nov. 1994,8.1,1982,Bart se enamora de la hija del reverendo Alegría y se sorprende cuando ella termina siendo una mala influencia para él.
6,Lisa sobre hielo,13 nov. 1994,8.6,2155,"Homer le presta toda su atención a Bart porque es la estrella de su equipo de hockey, lo que pone celosa a Lisa. Pero cuando un equipo rival descubre que ella es una excelente arquera, Bart de repente tiene una competidora por la atención de Homer."
6,"Homer, el malo",27 nov. 1994,9.0,2779,"Después de una serie de malentendidos, Homer es señalado como un pervertido y debe intentar limpiar su nombre."
6,El Abuelo contra la insuficiencia sexual,4 dic. 1994,8.1,1846,Homer y Abe salen de viaje para vender el afrodisíaco milagroso de Abe.
6,Miedo a volar,18 dic. 1994,7.8,1882,Marge empieza terapia para superar su traumático miedo a volar.
6,Homer el Grande,8 ene. 1995,9.0,2557,Homer se convierte en miembro de una misteriosa organización llamada los Canteros y es proclamado «el elegido».
6,Y Maggie hace tres,22 ene. 1995,8.8,2341,Homer relata la historia del nacimiento de Maggie cuando los niños preguntan por qué no hay fotos de ella en el álbum familiar.
6,El cometa de Bart,5 feb. 1995,8.7,2098,Bart descubre un cometa que se dirige directamente hacia Springfield.
6,Homie el payaso,12 feb. 1995,8.6,2151,"Homer se convierte en suplente de Krusty el Payaso, pero la mafia de Springfield lo confunde con el verdadero Krusty."
6,Bart contra Australia,19 feb. 1995,8.5,2278,"Después de hacer una llamada por cobro revertido a Australia y negarse a pagarla, Bart provoca un incidente internacional y los Simpson se ven obligados a viajar al país para reparar las relaciones diplomáticas."
6,Homer contra Patty y Selma,26 feb. 1995,7.9,1765,"Desesperado por conseguir dinero, Homer pide un préstamo a Patty y Selma; Bart descubre un talento natural para el ballet."
6,Una estrella es Burns,5 mar. 1995,8.6,2129,"Los habitantes de Springfield organizan su propio festival de cine, al que llega un popular crítico cinematográfico de Nueva York para actuar como jurado."
6,La boda de Lisa,19 mar. 1995,8.3,2053,Una adivina le muestra a Lisa cómo será su boda en el año 2010.
6,Dos docenas y un galgo,9 abr. 1995,8.2,1830,"La nueva pareja de Ayudante de Santa tiene cachorros, y el señor Burns conspira para robárselos y hacer un abrigo con ellos."
6,La asociación de padres y maestros se disuelve,16 abr. 1995,8.1,1775,Marge reemplaza a la señora Krabappel durante una huelga de docentes.
6,Por Springfield,30 abr. 1995,8.2,1894,"Cuando Bart es hospitalizado, Lisa se encuentra con su héroe, Encías Sangrantes Murphy, quien también es paciente. Sin embargo, cuando él muere poco después, Lisa queda devastada."
6,La conexión Springfield,7 may. 1995,8.2,1802,Marge se enfrenta a la corrupción y al crimen cuando se incorpora a la policía de Springfield.
6,El limón de Troya,14 may. 1995,8.7,2247,"Cuando un grupo de chicos de Shelbyville roba el sagrado limonero de Springfield, Bart y sus amigos se aventuran allí para recuperarlo."
6,¿Quién le disparó al señor Burns? Parte uno,21 may. 1995,9.2,2860,"Después de que el señor Burns roba petróleo de la Escuela Primaria de Springfield, una persona desconocida, aparentemente en represalia, le dispara."
7,¿Quién le disparó al señor Burns? Parte dos,17 sep. 1995,9.0,2580,"El señor Burns está internado en el hospital mientras comienza la investigación sobre quién le disparó; todos los habitantes tienen un motivo, pero se ha encontrado ADN de los Simpson."
7,El Hombre Radioactivo,24 sep. 1995,8.3,1958,Milhouse es elegido para interpretar al compañero del Hombre Radioactivo en una producción de Hollywood basada en la historieta.
7,"Hogar, dulce hogar-dum-diddly",1 oct. 1995,8.4,1887,"Marge y Homer pierden la custodia de los niños, que son enviados a vivir a la casa de los Flanders."
7,Bart vende su alma,8 oct. 1995,8.8,2350,"Bart vende despreocupadamente su alma a Milhouse por cinco dólares, pero luego se arrepiente. Moe transforma su lúgubre bar en un divertido restaurante familiar."
7,"Lisa, la vegetariana",15 oct. 1995,8.5,2212,"Una visita a un zoológico interactivo local convence a Lisa de dejar de comer carne, pese a la enorme presión para hacerla cambiar de opinión."
7,La casita del horror VI,29 oct. 1995,8.6,2234,Una extraña tormenta eléctrica hace que gigantescas mascotas publicitarias cobren vida; el jardinero Willie aterroriza a los niños en sus sueños; y Homer queda atrapado en otra dimensión.
7,Homer tamaño gigante,5 nov. 1995,9.0,2691,"Homer aumenta de peso deliberadamente para poder obtener una incapacidad laboral y trabajar desde casa, pero pronto descubre que la obesidad mórbida trae sus propios problemas."
7,Mamá Simpson,19 nov. 1995,8.6,2089,"Después de fingir su propia muerte, Homer se reencuentra con su madre, quien guarda un profundo secreto."
7,El último destello de Bob Patiño,26 nov. 1995,8.0,1768,"Bob Patiño vuelve a escapar de prisión y toma el control de una pantalla de televisión durante una exhibición aérea, exigiendo que todas las estaciones de TV dejen de transmitir de inmediato."
7,¡El espectacular episodio 138 de Los Simpson!,3 dic. 1995,7.5,1773,Troy McClure presenta una retrospectiva de los primeros 137 episodios de Los Simpson (1989).
7,"Marge, no seas orgullosa",17 dic. 1995,8.4,2069,La relación de Marge con Bart se tensa cuando lo atrapan robando en una tienda antes de Navidad.
7,Equipo Homer,7 ene. 1996,8.3,1794,"Homer forma un equipo de bolos con Moe, Apu y Otto, pero cuando el señor Burns descubre que el equipo fue financiado con su dinero, insiste en unirse. Mientras tanto, la Escuela Primaria de Springfield introduce uniformes."
7,Dos malos vecinos,14 ene. 1996,8.6,2101,El expresidente George Bush y su esposa Barbara se mudan al vecindario de los Simpson y pronto chocan con Bart y Homer.
7,Escenas de la lucha de clases en Springfield,4 feb. 1996,7.7,1656,"Después de comprar un traje Chanel a precio de oferta, Marge recibe una invitación a un club de campo por parte de una excompañera de escuela. Cautivada por la opulencia del lugar, pronto se desespera por encajar."
7,"Bart, el soplón",11 feb. 1996,7.7,1624,"Krusty el Payaso queda casi en la ruina después de que Bart lo delata accidentalmente ante el fisco, obligándolo a tomar medidas drásticas."
7,"Lisa, la iconoclasta",18 feb. 1996,8.2,1782,"Lisa podría saber qué hacer cuando, mientras investiga para un ensayo, descubre que el padre fundador de Springfield en realidad era un ladrón asesino."
7,"Homer, el Smithers",25 feb. 1996,8.9,2457,"Cuando Smithers se ve obligado a tomarse vacaciones, designa a Homer como su reemplazo temporal."
7,El día que murió la violencia,17 mar. 1996,8.1,1757,"Bart y Lisa conocen a una persona sin hogar que afirma haber creado a Tomy, el ratón de su serie animada favorita, «Tomy y Daly»."
7,Un pez llamado Selma,24 mar. 1996,8.2,1881,La decadente estrella de cine Troy McClure comienza a salir con Selma en un intento por silenciar extraños rumores sobre su vida personal y reactivar su carrera.
7,Bart en la carretera,31 mar. 1996,8.6,1956,"Bart fabrica una licencia de conducir falsa y lleva a Milhouse, Martin y Nelson a un gran viaje por carretera; Lisa pasa tiempo con Homer en la planta nuclear."
7,22 cortometrajes sobre Springfield,14 abr. 1996,8.9,2485,Una serie de viñetas muestra un día en la vida de diversos habitantes de Springfield.
7,El furioso Abe Simpson y su gruñón nieto en «La maldición del pez volador infernal»,28 abr. 1996,8.4,1921,"Muere otro integrante del pelotón del Abuelo Simpson en la Segunda Guerra Mundial, dejando solo a él y al señor Burns. Años antes, los hombres robaron varias obras maestras de valor incalculable de la Alemania nazi, y ahora Burns pretende asegurarse de ser quien las herede."
7,Mucho Apu y pocas nueces,5 may. 1996,8.1,1687,"Una ola antiinmigratoria recorre Springfield y amenaza con provocar la deportación de Apu, hasta que Homer decide rechazar la mentalidad de la multitud y ayudarlo a convertirse en ciudadano legal."
7,Homerpalooza,19 may. 1996,8.0,1792,"Decidido a demostrar que todavía es genial, Homer lleva a Bart y Lisa al festival de música Hullabalooza, donde descubre que tiene talento para recibir impactos de cañón en el estómago y se une al espectáculo de rarezas del festival."
7,Verano de 4 pies y 2 pulgadas,19 may. 1996,8.4,1947,"Después de darse cuenta de lo poco popular que es, una desilusionada Lisa ve las vacaciones en la casa de playa de Ned Flanders como una oportunidad para reinventarse."
